SubjectCode	Gender	Track	Natio1	TrackNatio1	DropOut	DropOutBinary	SchoolMean	SchoolDutch	SchoolEnglish	CoursesOutsideProgramme	Exemption	PassedBSA	Course1_Grade	Course2_Grade	Course3_Grade	Course4_Grade	Course5_Grade	Course6_Grade	Course7_Grade	Course8_Grade	Course9_Grade	Course10_Grade	Course11_Grade	Course12_Grade	Course13_Grade	Course1_EC_Worth	Course2_EC_Worth	Course3_EC_Worth	Course4_EC_Worth	Course5_EC_Worth	Course6_EC_Worth	Course7_EC_Worth	Course8_EC_Worth	Course9_EC_Worth	Course10_EC_Worth	Course11_EC_Worth	Course12_EC_Worth	Course13_EC_Worth
203	M	NL	DU	DU_in_NL	No	0				0	0	Yes	7	6	6.5	NA	6	8.5	6	7.5	7	NA	6	4	6	5	5	6	3	3	3	4	6	6	1	6	6	6
204	V	NL	NL	NL_in_NL	No	0				0	0	Yes	7	7.5	5	6	8.5	6.5	7	7.5	7	7	7	7	7.5	5	5	6	3	3	3	4	6	6	1	6	6	6
205	V	NL	NL	NL_in_NL	No	0	6.18	6	6	0	0	Yes	6.5	6.5	5	6.5	8	7	6	5	4	7	6	7.5	6.5	5	5	6	3	3	3	4	6	6	1	6	6	6
206	V	NL	NL	NL_in_NL	No	0	7.75	8	9	0	0	Yes	9	9.5	8	9.5	10	8	9.5	9.5	8.5	7	9	9.5	9	5	5	6	3	3	3	4	6	6	1	6	6	6
207	V	NL	NL	NL_in_NL	No	0	6.64	6	6	0	0	Yes	6	6.5	8	8.5	8.5	7.5	8	8.5	7	7	6.5	6.5	8	5	5	6	3	3	3	4	6	6	1	6	6	6
208	V	NL	NL	NL_in_NL	No	0	6.90	7	6	0	0	Yes	7.5	8.5	7.5	8.5	9	7.5	9.5	8	7.5	7	7	7	7.5	5	5	6	3	3	3	4	6	6	1	6	6	6
209	V	NL	NL	NL_in_NL	No	0	6.83	7	7	0	0	Yes	9	8	6	6.5	7.5	7.5	7	8	7.5	7	8	6.5	8	5	5	6	3	3	3	4	6	6	1	6	6	6
210	V	NL	NL	NL_in_NL	AfterYear1	1	6.36	6	6	0	0	Yes	6	8	5	7	6.5	8	6	7	7	NA	NA	6	7.5	5	5	6	3	3	3	4	6	6	1	6	6	6
211	V	NL	DU	DU_in_NL	No	0				0	0	Yes	7.5	8	4	6	6.5	8	7	8	4	7	7	6	7.5	5	5	6	3	3	3	4	6	6	1	6	6	6
212	M	NL	NL	NL_in_NL	No	0	6.64	6	6	0	0	No	4.5	4.5	5	4	9	4	6	7	4	NA	4	4.5	6	5	5	6	3	3	3	4	6	6	1	6	6	6
213	V	NL	NL	NL_in_NL	No	0	7.09	7	8	0	0	Yes	7.5	8	7.5	7.5	8.5	6.5	8	8.5	7.5	7	7.5	8.5	8	5	5	6	3	3	3	4	6	6	1	6	6	6
214	V	NL	NL	NL_in_NL	No	0	6.27	7	7	0	0	Yes	7.5	7	6.5	6	7.5	8	6	7	6.5	7	7	6.5	8.5	5	5	6	3	3	3	4	6	6	1	6	6	6
215	V	NL	DU	DU_in_NL	No	0				0	0	Yes	6	6	5	6	7	5	6.5	7	6.5	7	6	4	6.5	5	5	6	3	3	3	4	6	6	1	6	6	6
216	M	NL	NL	NL_in_NL	No	0	6.58	6	7	0	0	Yes	7.5	7	5	7	7	7.5	6.5	7	4	7	6	5	8	5	5	6	3	3	3	4	6	6	1	6	6	6
217	M	NL	NL	NL_in_NL	AfterYear1	1	6.42	6	7	0	0	Yes	6.5	7	6.5	6	7.5	7.5	6	7.5	7	7	6.5	6.5	7.5	5	5	6	3	3	3	4	6	6	1	6	6	6
218	M	NL	NL	NL_in_NL	AfterYear1	1	6.33	6	7	0	0	Yes	6	6	7.5	6.5	8.5	7.5	6.5	7.5	7.5	NA	4.5	6	7	5	5	6	3	3	3	4	6	6	1	6	6	6
219	V	NL	NL	NL_in_NL	No	0	7.00	6	7	0	0	Yes	6	7.5	7	6	7	7	8	8	8	7	6	7	7.5	5	5	6	3	3	3	4	6	6	1	6	6	6
220	V	NL	NL	NL_in_NL	No	0	6.73	7	6	0	0	Yes	6	7.5	7.5	6.5	7.5	6.5	8.5	8.5	7	7	7	9	8	5	5	6	3	3	3	4	6	6	1	6	6	6
221	M	NL	NL	NL_in_NL	No	0	6.73	6	7	0	0	Yes	6.5	8.5	9	7.5	7.5	7.5	9	8.5	8.5	7	8	7.5	8.5	5	5	6	3	3	3	4	6	6	1	6	6	6
222	V	NL	NL	NL_in_NL	No	0	6.64	7	6	0	0	Yes	6	7.5	7.5	7	7	7.5	7.5	8	7.5	7	6	6	6.5	5	5	6	3	3	3	4	6	6	1	6	6	6
223	V	NL	NL	NL_in_NL	No	0	6.44	6	8	0	0	No	8	7.5	4	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	5	5	6	3	3	3	4	6	6	1	6	6	6
224	V	NL	NL	NL_in_NL	No	0	6.90	7	7	0	0	Yes	7.5	9	7.5	6.5	8.5	7.5	7.5	9	8	7	6.5	7.5	9	5	5	6	3	3	3	4	6	6	1	6	6	6
225	V	NL	NL	NL_in_NL	No	0	6.30	6	7	0	0	Yes	8	8	8	6.5	8.5	7	7.5	7	7	7	8	6	8.5	5	5	6	3	3	3	4	6	6	1	6	6	6
226	V	NL	NL	NL_in_NL	No	0	6.58	6	6	0	0	Yes	6.5	6.5	5	7	7.5	7	7.5	7.5	6.5	7	8	7	7.5	5	5	6	3	3	3	4	6	6	1	6	6	6
227	V	NL	DU	DU_in_NL	No	0				0	0	No	NA	8	NA	NA	NA	NA	6	1.5	NA	7	NA	8	7.5	5	5	6	3	3	3	4	6	6	1	6	6	6
228	V	NL	NL	NL_in_NL	No	0	7.85	8	7	0	0	Yes	8.5	9.5	7	9	9.5	8	9.5	9.5	8	7	9.5	8.5	9	5	5	6	3	3	3	4	6	6	1	6	6	6
229	V	NL	NL	NL_in_NL	DuringYear1	1	6.36	6	7	0	0	No	4.5	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	5	5	6	3	3	3	4	6	6	1	6	6	6
