"SubjectCode"	"Gender"	"Track"	"Nationality"	"Group"	"DropOut"	"DropOutBinary"	"SchoolMean"	"SchoolDutch"	"SchoolEnglish"	"CoursesOutsideProgramme"	"Exemption"	"PassedBSA"	"EC_Obtained"	"Weighted_Grade"	"EC_Taken"	"Mean_Grade"	"wordtokens_oct"	"ld_oct"	"ls2_oct"	"ndwesz_oct"	"wordtokens_feb"	"ld_feb"	"ls2_feb"	"ndwesz_feb"	"wordtokens_apr"	"ld_apr"	"ls2_apr"	"ndwesz_apr"	"grade_oct"	"grade_feb"	"grade_apr"
163	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	7.55	7	8	0	0	"Yes"	60	491.5	60	8.19166666666667	170	0.49	0.25	17.73	93	0.53	0.17	17.35	80	0.57	0.2	17.74	6	10	10
164	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	7.5	7	8	0	0	"Yes"	60	451.5	60	7.525	69	0.57	0.17	16.31	71	0.48	0.24	15.54	63	0.51	0.14	17.48	6	10	10
165	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.58	6	6	0	0	"No"	40	349.5	60	5.825	98	0.46	0.2	16.36	123	0.51	0.19	16.95	49	0.51	0.14	17.69	8	10	10
166	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	8.15	7	8	0	0	"Yes"	60	521	60	8.68333333333333	77	0.57	0.16	18.05	167	0.47	0.12	16.32	46	0.52	0.14	15.46	6	10	10
167	"V"	"Dutch"	"German"	"German in Dutch track"	"AfterYear1"	1	NA	NA	NA	0	0	"Yes"	60	501.5	60	8.35833333333333	80	0.62	0.2	17.99	54	0.48	0.31	17.63	48	0.54	0.19	18.21	8	10	10
170	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	7.27	7	7	0	0	"Yes"	60	483	60	8.05	52	0.58	0.13	16.57	119	0.55	0.17	16.33	56	0.55	0.17	17.76	2	10	10
173	"V"	"Dutch"	"German"	"German in Dutch track"	"AfterYear1"	1	NA	NA	NA	0	0	"Yes"	51	381.5	54	7.06481481481481	130	0.52	0.21	17.32	78	0.44	0.17	17.36	76	0.43	0.2	17.42	10	10	10
174	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.56	6	7	0	0	"Yes"	60	465	60	7.75	59	0.49	0.11	16.52	158	0.49	0.12	17.31	60	0.5	0.16	18.88	4	10	10
175	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.36	6	6	0	0	"No"	40	372.5	60	6.20833333333333	102	0.49	0.18	17.18	73	0.52	0.21	18.32	68	0.56	0.18	18.67	4	0	0
177	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.36	6	6	0	0	"Yes"	48	380.5	60	6.34166666666667	98	0.48	0.14	18.26	61	0.51	0.2	17.65	40	0.68	0.25	18.75	7	0	6
179	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.92	7	6	0	0	"Yes"	60	459	60	7.65	81	0.46	0.22	17.29	88	0.5	0.15	17.37	47	0.6	0.18	16.61	10	10	10
182	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.31	6	6	0	0	"Yes"	60	401	60	6.68333333333333	53	0.43	0.26	18.64	68	0.51	0.31	16.99	57	0.51	0.24	15.54	4	10	10
183	"V"	"Dutch"	"German"	"German in Dutch track"	"No"	0	NA	NA	NA	0	0	"Yes"	60	454.5	60	7.575	48	0.54	0.18	16.75	70	0.49	0.17	16.35	80	0.55	0.11	17.12	6	7	6
185	"M"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.1	6	6	0	0	"Yes"	60	444	60	7.4	48	0.52	0.18	16.87	126	0.52	0.12	17.13	46	0.5	0.18	18.85	6	10	10
186	"M"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.25	6	7	0	0	"Yes"	60	418.5	60	6.975	43	0.51	0.19	17.5	60	0.48	0.16	16.91	67	0.52	0.23	19	3	0	10
191	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.92	6	7	0	0	"Yes"	60	469	60	7.81666666666667	147	0.43	0.14	16.49	131	0.51	0.1	16.8	60	0.5	0.2	16.78	8	10	10
193	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.27	6	7	0	0	"Yes"	48	388	60	6.46666666666667	32	0.59	0.33	11.93	55	0.62	0.2	17.22	43	0.67	0.24	17.66	5	3	2
194	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.38	6	6	0	0	"Yes"	60	447	60	7.45	163	0.5	0.14	17.74	107	0.5	0.1	14.79	51	0.61	0.26	17.6	10	10	6
195	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.5	6	7	0	0	"Yes"	48	380	60	6.33333333333333	39	0.49	0.24	14.51	106	0.45	0.05	17.27	62	0.47	0.18	16.82	0	7	10
196	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.33	6	7	0	0	"Yes"	60	426.5	60	7.10833333333333	104	0.56	0.11	17.48	104	0.5	0.25	17.02	34	0.47	0.28	17.73	8	10	6
197	"V"	"Dutch"	"German"	"German in Dutch track"	"No"	0	NA	NA	NA	0	0	"Yes"	60	476	60	7.93333333333333	111	0.51	0.19	16.66	124	0.44	0.31	17.19	75	0.52	0.22	17.16	8	10	10
198	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	7.27	8	9	0	0	"Yes"	60	409	60	6.81666666666667	70	0.6	0.31	18.33	80	0.47	0.08	18.44	53	0.64	0.24	16.69	2	10	6
199	"V"	"Dutch"	"German"	"German in Dutch track"	"No"	0	NA	NA	NA	0	0	"Yes"	60	426.5	60	7.10833333333333	94	0.6	0.18	18.96	105	0.5	0.2	15.62	51	0.61	0.14	18.16	8	0	10
200	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	7.64	7	7	0	0	"Yes"	60	464	60	7.73333333333333	122	0.45	0.17	17.23	101	0.54	0.18	17.37	54	0.59	0.17	17.99	10	10	10
202	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.58	7	7	0	0	"Yes"	60	437	60	7.28333333333333	41	0.59	0.29	17.73	117	0.48	0.15	16.89	48	0.54	0.13	17.35	5	10	10
206	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	7.75	8	9	0	0	"Yes"	60	541	60	9.01666666666667	86	0.55	0.2	17.49	135	0.53	0.13	16.52	46	0.59	0.24	17.19	6	7	10
207	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.64	6	6	0	0	"Yes"	60	442	60	7.36666666666667	42	0.6	0.26	18.21	95	0.51	0.25	17.35	45	0.6	0.27	16.06	6	10	10
208	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.9	7	6	0	0	"Yes"	60	467	60	7.78333333333333	62	0.5	0.15	16.57	64	0.48	0.25	16.18	48	0.5	0.21	18.15	6	10	10
209	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.83	7	7	0	0	"Yes"	60	448.5	60	7.475	102	0.58	0.25	17.64	116	0.55	0.19	17	38	0.53	0.31	17.16	8	10	6
213	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	7.09	7	8	0	0	"Yes"	60	469	60	7.81666666666667	52	0.62	0.17	16.12	92	0.5	0.16	16.04	60	0.52	0.13	16.29	6	10	10
214	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.27	7	7	0	0	"Yes"	60	420	60	7	38	0.47	0.19	17.38	106	0.49	0.25	17.58	46	0.57	0.14	18.63	3	0	10
215	"V"	"Dutch"	"German"	"German in Dutch track"	"No"	0	NA	NA	NA	0	0	"Yes"	45	357	60	5.95	68	0.63	0.22	16.32	98	0.56	0.22	17.08	42	0.5	0.16	17.39	5	0	6
218	"M"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"AfterYear1"	1	6.33	6	7	0	0	"Yes"	53	393.5	59	6.66949152542373	56	0.46	0.27	14.93	106	0.43	0.09	16.39	56	0.54	0.18	16.7	5	10	10
220	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.73	7	6	0	0	"Yes"	60	452	60	7.53333333333333	82	0.59	0.13	16.13	90	0.53	0.12	16.24	49	0.57	0.15	17.2	7	10	2
221	"M"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.73	6	7	0	0	"Yes"	60	485.5	60	8.09166666666667	189	0.48	0.2	18.15	128	0.49	0.14	16.73	55	0.53	0.17	16.9	10	10	10
222	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.64	7	6	0	0	"Yes"	60	418	60	6.96666666666667	128	0.54	0.15	18.15	111	0.49	0.15	16.61	59	0.59	0.22	17.27	10	10	10
224	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.9	7	7	0	0	"Yes"	60	472	60	7.86666666666667	51	0.65	0.11	17.72	59	0.61	0.23	17.43	65	0.54	0.13	18.99	4	7	10
226	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	6.58	6	6	0	0	"Yes"	54	415.5	60	6.925	48	0.56	0.23	16.28	70	0.54	0.12	16.62	38	0.53	0.24	18.15	6	7	2
230	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	7.25	7	8	0	0	"Yes"	54	412	60	6.86666666666667	139	0.58	0.19	18.87	131	0.5	0.23	17.77	70	0.47	0.18	18.03	10	10	10
232	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"No"	0	7.1	8	7	0	0	"Yes"	60	463.5	60	7.725	38	0.58	0.25	17.58	46	0.57	0.31	18	53	0.51	0.1	18.67	2	0	10
235	"V"	"Dutch"	"Dutch"	"Dutch in Dutch track"	"AfterYear1"	1	6.9	7	6	0	0	"No"	19	269.5	53	5.08490566037736	38	0.47	0.17	17	79	0.51	0.25	18.67	57	0.46	0.31	18.07	0	7	6
