SubjectCode,Gender,Track,Natio1,TrackNatio1,DropOut,DropOutBinary,SchoolMean,SchoolDutch,SchoolEnglish,CoursesOutsideProgramme,Exemption,PassedBSA,Course1_Grade,Course2_Grade,Course3_Grade,Course4_Grade,Course5_Grade,Course6_Grade,Course7_Grade,Course8_Grade,Course9_Grade,Course10_Grade,Course11_Grade,Course12_Grade,Course13_Grade,Course1_EC_Worth,Course2_EC_Worth,Course3_EC_Worth,Course4_EC_Worth,Course5_EC_Worth,Course6_EC_Worth,Course7_EC_Worth,Course8_EC_Worth,Course9_EC_Worth,Course10_EC_Worth,Course11_EC_Worth,Course12_EC_Worth,Course13_EC_Worth,wordtokens_oct,ld_oct,ls2_oct,ndwesz_oct,wordtokens_feb,ld_feb,ls2_feb,ndwesz_feb,wordtokens_apr,ld_apr,ls2_apr,ndwesz_apr
195,V,NL,NL,NL_in_NL,No,0,6.5,6.0,7,0,0,Yes,6.5,6.0,7.0,7.0,6.5,7.0,6.0,6.5,7.0,7.0,5.0,5.0,7.0,5,5,6,3,3,3,4,6,6,1,6,6,6,39.0,0.49,0.24,14.51,106.0,0.45,0.05,17.27,62.0,0.47,0.18,16.82
196,V,NL,NL,NL_in_NL,No,0,6.33,6.0,7,0,0,Yes,6.5,8.0,7.0,7.0,6.0,8.0,8.0,8.0,7.0,7.0,6.5,6.5,7.0,5,5,6,3,3,3,4,6,6,1,6,6,6,104.0,0.56,0.11,17.48,104.0,0.5,0.25,17.02,34.0,0.47,0.28,17.73
197,V,NL,DU,DU_in_NL,No,0,,,,0,0,Yes,7.0,9.0,7.5,8.0,8.0,7.0,8.0,9.0,7.5,7.0,6.5,8.0,9.5,5,5,6,3,3,3,4,6,6,1,6,6,6,111.0,0.51,0.19,16.66,124.0,0.44,0.31,17.19,75.0,0.52,0.22,17.16
198,V,NL,NL,NL_in_NL,No,0,7.27,8.0,9,0,0,Yes,6.0,7.5,7.5,8.0,7.0,6.5,7.5,6.5,7.0,7.0,6.0,6.5,6.5,5,5,6,3,3,3,4,6,6,1,6,6,6,70.0,0.6,0.31,18.33,80.0,0.47,0.08,18.44,53.0,0.64,0.24,16.69
199,V,NL,DU,DU_in_NL,No,0,,,,0,0,Yes,6.5,9.0,6.5,6.0,6.5,7.5,6.0,7.5,7.0,7.0,6.5,7.0,8.5,5,5,6,3,3,3,4,6,6,1,6,6,6,94.0,0.6,0.18,18.96,105.0,0.5,0.2,15.62,51.0,0.61,0.14,18.16
200,V,NL,NL,NL_in_NL,No,0,7.64,7.0,7,0,0,Yes,7.5,8.0,7.0,8.5,8.5,6.5,7.5,8.5,6.5,7.0,8.5,7.5,8.5,5,5,6,3,3,3,4,6,6,1,6,6,6,122.0,0.45,0.17,17.23,101.0,0.54,0.18,17.37,54.0,0.59,0.17,17.99
202,V,NL,NL,NL_in_NL,No,0,6.58,7.0,7,0,0,Yes,7.0,6.0,6.5,6.5,8.5,8.0,8.0,8.0,7.0,7.0,7.0,7.5,8.0,5,5,6,3,3,3,4,6,6,1,6,6,6,41.0,0.59,0.29,17.73,117.0,0.48,0.15,16.89,48.0,0.54,0.13,17.35
206,V,NL,NL,NL_in_NL,No,0,7.75,8.0,9,0,0,Yes,9.0,9.5,8.0,9.5,10.0,8.0,9.5,9.5,8.5,7.0,9.0,9.5,9.0,5,5,6,3,3,3,4,6,6,1,6,6,6,86.0,0.55,0.2,17.49,135.0,0.53,0.13,16.52,46.0,0.59,0.24,17.19
207,V,NL,NL,NL_in_NL,No,0,6.64,6.0,6,0,0,Yes,6.0,6.5,8.0,8.5,8.5,7.5,8.0,8.5,7.0,7.0,6.5,6.5,8.0,5,5,6,3,3,3,4,6,6,1,6,6,6,42.0,0.6,0.26,18.21,95.0,0.51,0.25,17.35,45.0,0.6,0.27,16.06
208,V,NL,NL,NL_in_NL,No,0,6.9,7.0,6,0,0,Yes,7.5,8.5,7.5,8.5,9.0,7.5,9.5,8.0,7.5,7.0,7.0,7.0,7.5,5,5,6,3,3,3,4,6,6,1,6,6,6,62.0,0.5,0.15,16.57,64.0,0.48,0.25,16.18,48.0,0.5,0.21,18.15
209,V,NL,NL,NL_in_NL,No,0,6.83,7.0,7,0,0,Yes,9.0,8.0,6.0,6.5,7.5,7.5,7.0,8.0,7.5,7.0,8.0,6.5,8.0,5,5,6,3,3,3,4,6,6,1,6,6,6,102.0,0.58,0.25,17.64,116.0,0.55,0.19,17.0,38.0,0.53,0.31,17.16
213,V,NL,NL,NL_in_NL,No,0,7.09,7.0,8,0,0,Yes,7.5,8.0,7.5,7.5,8.5,6.5,8.0,8.5,7.5,7.0,7.5,8.5,8.0,5,5,6,3,3,3,4,6,6,1,6,6,6,52.0,0.62,0.17,16.12,92.0,0.5,0.16,16.04,60.0,0.52,0.13,16.29
214,V,NL,NL,NL_in_NL,No,0,6.27,7.0,7,0,0,Yes,7.5,7.0,6.5,6.0,7.5,8.0,6.0,7.0,6.5,7.0,7.0,6.5,8.5,5,5,6,3,3,3,4,6,6,1,6,6,6,38.0,0.47,0.19,17.38,106.0,0.49,0.25,17.58,46.0,0.57,0.14,18.63
215,V,NL,DU,DU_in_NL,No,0,,,,0,0,Yes,6.0,6.0,5.0,6.0,7.0,5.0,6.5,7.0,6.5,7.0,6.0,4.0,6.5,5,5,6,3,3,3,4,6,6,1,6,6,6,68.0,0.63,0.22,16.32,98.0,0.56,0.22,17.08,42.0,0.5,0.16,17.39
218,M,NL,NL,NL_in_NL,AfterYear1,1,6.33,6.0,7,0,0,Yes,6.0,6.0,7.5,6.5,8.5,7.5,6.5,7.5,7.5,,4.5,6.0,7.0,5,5,6,3,3,3,4,6,6,1,6,6,6,56.0,0.46,0.27,14.93,106.0,0.43,0.09,16.39,56.0,0.54,0.18,16.7
220,V,NL,NL,NL_in_NL,No,0,6.73,7.0,6,0,0,Yes,6.0,7.5,7.5,6.5,7.5,6.5,8.5,8.5,7.0,7.0,7.0,9.0,8.0,5,5,6,3,3,3,4,6,6,1,6,6,6,82.0,0.59,0.13,16.13,90.0,0.53,0.12,16.24,49.0,0.57,0.15,17.2
221,M,NL,NL,NL_in_NL,No,0,6.73,6.0,7,0,0,Yes,6.5,8.5,9.0,7.5,7.5,7.5,9.0,8.5,8.5,7.0,8.0,7.5,8.5,5,5,6,3,3,3,4,6,6,1,6,6,6,189.0,0.48,0.2,18.15,128.0,0.49,0.14,16.73,55.0,0.53,0.17,16.9
222,V,NL,NL,NL_in_NL,No,0,6.64,7.0,6,0,0,Yes,6.0,7.5,7.5,7.0,7.0,7.5,7.5,8.0,7.5,7.0,6.0,6.0,6.5,5,5,6,3,3,3,4,6,6,1,6,6,6,128.0,0.54,0.15,18.15,111.0,0.49,0.15,16.61,59.0,0.59,0.22,17.27
224,V,NL,NL,NL_in_NL,No,0,6.9,7.0,7,0,0,Yes,7.5,9.0,7.5,6.5,8.5,7.5,7.5,9.0,8.0,7.0,6.5,7.5,9.0,5,5,6,3,3,3,4,6,6,1,6,6,6,51.0,0.65,0.11,17.72,59.0,0.61,0.23,17.43,65.0,0.54,0.13,18.99
226,V,NL,NL,NL_in_NL,No,0,6.58,6.0,6,0,0,Yes,6.5,6.5,5.0,7.0,7.5,7.0,7.5,7.5,6.5,7.0,8.0,7.0,7.5,5,5,6,3,3,3,4,6,6,1,6,6,6,48.0,0.56,0.23,16.28,70.0,0.54,0.12,16.62,38.0,0.53,0.24,18.15
230,V,NL,NL,NL_in_NL,No,0,7.25,7.0,8,0,0,Yes,6.0,6.5,4.0,7.0,7.5,7.0,8.0,8.5,7.5,7.0,6.5,7.0,7.5,5,5,6,3,3,3,4,6,6,1,6,6,6,139.0,0.58,0.19,18.87,131.0,0.5,0.23,17.77,70.0,0.47,0.18,18.03
232,V,NL,NL,NL_in_NL,No,0,7.1,8.0,7,0,0,Yes,6.5,8.0,8.0,6.5,7.5,8.0,9.0,8.0,7.5,7.0,8.0,7.0,8.5,5,5,6,3,3,3,4,6,6,1,6,6,6,38.0,0.58,0.25,17.58,46.0,0.57,0.31,18.0,53.0,0.51,0.1,18.67
235,V,NL,NL,NL_in_NL,AfterYear1,1,6.9,7.0,6,0,0,No,5.0,4.0,6.0,4.0,7.5,5.0,7.0,4.5,4.0,,3.5,,6.5,5,5,6,3,3,3,4,6,6,1,6,6,6,38.0,0.47,0.17,17.0,79.0,0.51,0.25,18.67,57.0,0.46,0.31,18.07
237,V,NL,NL,NL_in_NL,No,0,6.92,7.0,7,0,0,Yes,7.0,8.5,5.0,8.5,8.0,7.0,7.0,9.0,7.0,7.0,6.0,7.0,8.0,5,5,6,3,3,3,4,6,6,1,6,6,6,124.0,0.54,0.17,18.39,87.0,0.51,0.22,16.74,68.0,0.57,0.11,17.75
240,V,NL,NL,NL_in_NL,No,0,,,,0,0,Yes,6.5,8.0,7.0,7.0,6.0,7.0,8.0,7.0,8.0,7.0,6.5,7.0,8.0,5,5,6,3,3,3,4,6,6,1,6,6,6,46.0,0.59,0.28,15.86,71.0,0.44,0.1,16.99,40.0,0.53,0.2,17.15
241,M,NL,NL,NL_in_NL,AfterYear1,1,,,,0,0,Yes,6.0,7.0,6.5,5.0,8.0,8.5,7.0,8.0,8.0,7.0,7.0,7.0,8.0,5,5,6,3,3,3,4,6,6,1,6,6,6,53.0,0.49,0.08,18.35,119.0,0.53,0.12,15.96,37.0,0.54,0.21,16.13
